I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39,I40,I41,I42,I43,I44,I45,I46,I47,I48,I49,I50,I51,I52,I53,I54,I55,I56,I57,I58,I59,I60,I61,I62,I63
124361,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,9.17241669,16.5862045,-29.2969208,18.5784798,-43.025486,-46.9973488,3,-999,-999,0,-17.3582077,32.8656693,-27.1305828,17.7958584,-2.90507126,1.26073003,3,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.083962135,0.0233187675,61.2670631,6,1,149.263855,0,2.27312112,0.219172016,2.99198318,1118.30115,5.51397228,7.26016712,-0.88689214,0,0,3
124366,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,9.05172729,19,-28.2342644,18.2855892,-43,-47,3,-999,-999,0,-17.3582077,32.8656693,-27.1305828,17.7958584,-2.77753186,1.21626079,3,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0786701739,0.0344367884,61.9396667,6,1,149.263855,0,2.27312112,0.209748387,2.99265885,1123.86438,5.45761585,7.90682554,-0.824964404,-1,0,3
124371,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,6.8307724,21.4923096,-28.4536343,18.6144066,-43.0063438,-49.8174629,6,-999,-999,0,-17.5166626,28.5333405,-26.1036987,17.7675209,-2.77753186,1.21626079,3,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0786701739,0.0344367884,61.9396667,6,1,149.495026,0,2.30746651,0.209748387,2.99265885,1124.94165,5.39653969,8.54912663,-0.765819132,-1,0,3
124376,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,6.8307724,21.4923096,-28.4536343,18.6144066,-43.0063438,-49.8174629,6,-999,-999,0,-17.5166626,28.5333405,-26.1036987,17.7675209,-3.00040126,1.30909216,6,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.103185534,0.0299990419,62.3178062,6,1,149.495026,0,2.30746651,0.139850944,2.9967382,1112.49695,5.34070396,9.19085789,-0.702579081,0,0,3
124381,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,6.8307724,21.4923096,-28.4536343,18.6144066,-43.0063438,-49.8174629,6,-999,-999,0,-17.5166626,28.5333405,-26.1036987,17.7675209,-3.00040126,1.30909216,6,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.103185534,0.0299990419,62.3178062,6,1,149.702393,0,2.34932065,0.139850944,2.9967382,1112.76636,5.2990694,9.82560158,-0.648806512,0,0,3
124386,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,6.8307724,21.4923096,-28.4536343,18.6144066,-43.0027313,-51.0564728,4,-999,-999,0,-17.5384598,25.9230804,-27.7281685,17.2815075,-3.04472399,1.33223867,4,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0997001901,0.0401706547,61.7619324,6,1,149.702393,0,2.34932065,0.207656264,2.99280453,1117.0459,5.26305008,10.4555893,-0.5941661,0,0,3
124391,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,6.8307724,21.4923096,-28.4536343,18.6144066,-43.0027313,-51.0564728,4,-999,-999,0,-17.5384598,25.9230804,-27.7281685,17.2815075,-3.04472399,1.33223867,4,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0997001901,0.0401706547,61.7619324,6,1,149.861404,0,2.36059666,0.207656264,2.99280453,1117.53784,5.22749329,11.0722284,-0.541561067,0,0,3
124396,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,9.05454254,25.8181763,-27.1539192,18.5433693,-43.0010262,-52.0980911,4,-999,-999,0,-17.5833282,23.7500076,-27.5238323,17.6668091,-3.0364511,1.33217764,4,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.123633884,0.0646075234,62.8359108,6,1,149.861404,0,2.36059666,0.182655737,2.99443412,1114.0813,5.22189999,11.690155,-0.486679703,0,0,3
124401,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,9.05454254,25.8181763,-27.1539192,18.5433693,-43.0010262,-52.0980911,4,-999,-999,0,-17.5833282,23.7500076,-27.5238323,17.6668091,-3.0364511,1.33217764,4,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.123633884,0.0646075234,62.8359108,6,1,149.976669,0,2.38012266,0.182655737,2.99443412,1114.32971,5.20349216,12.294651,-0.438242376,0,0,3
124406,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,9.05357361,28.1428604,-27.2135849,18.4397926,-43.0003014,-53.0788574,6,-999,-999,0,-17.7627106,21.5254211,-27.0896091,16.9980412,-3.03979897,1.33752942,6,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.134874031,0.074671492,63.1467171,6,1,149.976669,0,2.38012266,0.147899181,2.99635196,1117.08472,5.19775915,12.8824453,-0.394105911,0,0,3
